MES,Campaña,Objetivo,Impresiones,Alcance,Interacciones,Clics,CTR,Mensajes,Visitas,Carritos,Pagos Iniciados,Compras,CPA ,Valor de conversión,ROAS,Importe gastado (USD),Columna 2,Columna 3,Columna 4,Columna 5,Columna 6,Columna 7
11-2024,STP - Tráfico IG,Tráfico,35.232,25.857,17.364,3.015,"8,5",13,112,5,2,,"$8,22",,,"$45,4",,,,,,
11-2024,STP - Conversiones - Tráfico Frio,Ventas,85.223,45.140,18.117,4.267,"5,0",23,1.257,72,32,8,"$12,96","$333,9","3,22","$103,6",,,,,,
11-2024,STP - Conversiones - Tráfico Caliente,Ventas,33.267,8.955,7.525,1.665,"5,0",13,424,45,11,5,"$10,33","$208,2","4,03","$51,7",,,,,,
11-2024,STP - Conversiones - Catálogo - Tráfico Frio,Ventas,14.873,10.036,191,325,"2,1",,116,4,4,,,,,"$9,2",,,,,,
11-2024,GAE - Tráfico- 18Sept24,Tráfico,23.326,16.708,1.040,1.023,"4,3",10,,,,,"$1,14",,,"$45,5",,,,,,
11-2024,GAE - Compras - 27Ago24,Ventas,15.786,8.749,3.330,906,"5,7",4,142,,,,,,,"$19,2",,,,,,
12-2024,STP - Tráfico IG,Tráfico,52.936,39.792,22.483,4.279,"8,0",12,188,5,4,,"$0,01",,,"$32,6",,,,,,
12-2024,STP - Conversiones - Tráfico Frio,Ventas,322.409,125.067,37.368,12.430,"3,8",68,3.805,267,152,28,"$9,21","$875,5","3,40","$257,7",,,,,,
12-2024,STP - Conversiones - Tráfico Caliente,Ventas,153.981,25.657,10.363,5.661,"3,6",33,2.169,162,108,27,"$5,62","$629,6","4,15","$151,6",,,,,,
12-2024,STP - Conversiones - Catálogo - Tráfico Frio,Ventas,95.214,49.297,1.529,2.190,"2,3",11,860,54,43,11,"$5,54","$222,7","3,65","$61,0",,,,,,
01-2025,STP - Tráfico IG,Tráfico,105.484,65.985,44.505,7.197,"6,8",20,356,6,6,1,"$0,01","$14,0","0,34","$41,5",,,,,,
01-2025,STP - Conversiones - Tráfico Frio,Ventas,407.189,172.133,24.317,13.592,"3,3",85,5.058,360,185,34,"$6,35","$794,1","3,68","$215,9",,,,,,
01-2025,STP - Conversiones - Tráfico Caliente,Ventas,229.750,38.093,13.344,7.424,"3,2",47,3.330,240,124,21,"$6,41","$538,7","4,00","$134,7",,,,,,
01-2025,STP - Conversiones - Catálogo - Tráfico Frio,Ventas,17.873,10.440,424,503,"2,8",1,285,13,11,1,"$16,91","$68,0","4,02","$16,9",,,,,,
01-2025,STP - Conversiones - Tráfico Frio - Pruebas 10%,Ventas,27.844,16.869,2.912,703,"2,5",5,197,9,3,1,"$22,41","$18,0","0,80","$22,4",,,,,,
01-2025,STP - Conversiones - Campaña Advantage+,Ventas,62.175,34.078,1.756,1.672,"2,7",6,762,71,37,16,"$3,54","$486,6","8,59","$56,7",,,,,,
02-2025,STP - Tráfico IG,Tráfico,52.022,36.933,25.931,3.966,"7,6",15,168,1,1,,"$0,01",,,"$36,0",,,,,,
02-2025,STP - Conversiones - Tráfico Frio,Ventas,224.631,88.060,13.370,7.919,"3,5",35,3.030,164,64,18,"$10,09","$631,7","3,48","$181,7",,,,,,
02-2025,STP - Conversiones - Tráfico Caliente,Ventas,108.176,25.114,8.685,4.276,"4,0",13,2.049,97,48,17,"$6,94","$800,8","6,79","$117,9",,,,,,
02-2025,STP - Conversiones - Campaña Advantage+,Ventas,186.491,88.787,6.388,5.753,"3,1",28,2.557,119,57,15,"$11,51","$381,4","2,21","$172,7",,,,,,
03-2025,STP - Conversiones - Tráfico Frio,Ventas,184.252,62.290,14.434,7.596,"4,1",42,2.020,287,121,34,"$5,47","$786,4","4,23","$186,1",,,,,,
03-2025,STP - Conversiones - Tráfico Caliente,Ventas,115.598,24.332,11.703,4.641,"4,0",25,1.238,279,116,32,"$3,85","$852,3","6,92","$123,2",,,,,,
03-2025,STP - Tráfico IG,Tráfico,42.624,30.101,19.611,3.420,"8,0",9,103,10,8,1,"$0,01","$12,0","0,39","$30,5",,,,,,
03-2025,STP - Conversiones - Campaña Advantage+,Ventas,183.595,79.637,4.282,6.247,"3,4",46,1.678,286,133,46,"$4,04","$914,4","4,92","$185,8",,,,,,
04-2025,STP - Tráfico IG,Tráfico,77.892,49.269,32.383,6.294,"8,1",16,250,19,10,2,"$0,01","$175,9","3,94","$44,7",,,,,,
04-2025,STP - Conversiones - Tráfico Frio,Ventas,344.273,152.056,26.615,12.393,"3,6",75,4.858,521,220,63,"$3,21","$2.030,0","10,05","$202,0",,,,,,
04-2025,STP - Conversiones - Tráfico Caliente,Ventas,157.554,28.529,26.972,7.488,"4,8",36,3.591,423,171,57,"$2,61","$1.724,0","11,57","$149,0",,,,,,
04-2025,STP - Conversiones - Campaña Advantage+,Ventas,195.633,74.275,4.874,6.900,"3,5",39,3.437,385,185,50,"$3,45","$1.415,2","8,20","$172,6",,,,,,
04-2025,STP - Conversiones - BBDD + LAL,Ventas,73.535,45.710,10.218,3.101,"4,2",9,1.388,154,56,19,"$3,07","$919,9","15,77","$58,3",,,,,,
05-2025,STP - Tráfico IG,Tráfico,86.486,67.655,13.930,6.684,"7,7",30,172,12,5,,"$0,01",,,"$45,8",,,,,,
05-2025,STP - Conversiones - Tráfico Frio,Ventas,280.009,123.352,18.458,7.995,"2,9",51,3609,359,165,33,"$4,82","$1.183,9","7,45","$158,9",,,,,,
05-2025,STP - Conversiones - Tráfico Caliente,Ventas,138.531,22.058,18.486,5.993,"4,3",35,3474,417,175,60,"$2,58","$2.190,4","14,15","$154,8",,,,,,
05-2025,STP - Conversiones - Campaña Advantage+,Ventas,212.947,81.487,6.141,7.762,"3,6",41,4357,552,270,84,"$2,02","$2.478,9","14,61","$169,6",,,,,,
05-2025,STP - Conversiones - BBDD + LAL,Ventas,106.404,56.065,11.112,3.878,"3,6",17,1915,219,101,32,"$2,90","$957,6","10,31","$92,9",,,,,,
06-2025,STP - Tráfico IG,Tráfico,51.504,38.699,9.149,3.894,"7,6",15,158,12,9,1,"$0,01","$16,0","0,54","$29,8",,,,,,
06-2025,STP - Conversiones - Tráfico Frio,Ventas,223.313,86.562,13.713,6.901,"3,1",31,2.921,333,156,58,"$2,65","$1.882,5","12,23","$153,9",,,,,,
06-2025,STP - Conversiones - Tráfico Caliente,Ventas,170.550,31.574,15.570,6.688,"3,9",18,3.488,334,163,41,"$3,70","$1.156,6","7,62","$151,9",,,,,,
06-2025,STP - Conversiones - Campaña Advantage+,Ventas,234.226,80.920,10.978,9.063,"3,9",40,4.922,528,274,78,"$2,78","$2.081,4","9,61","$216,7",,,,,,
06-2025,STP - Conversiones - BBDD + LAL,Ventas,84.960,41.620,11.482,3.511,"4,1",16,1.810,277,113,41,"$2,20","$1.369,3","15,20","$90,1",,,,,,
07-2025,STP - Tráfico IG,Tráfico,52318,39035,11783,4792,"9,2",19,132,6,,,"$0,01",,,"$30,8",,,,,,
07-2025,STP - Conversiones - Tráfico Frio,Ventas,193900,66608,12137,8171,"4,2",49,3833,530,261,83,"$2,24","$2.589,5","13,96","$185,5",,,,,,
07-2025,STP - Conversiones - Tráfico Caliente,Ventas,227948,41626,26393,10341,"4,5",28,5481,500,260,76,"$2,54","$2.280,9","11,84","$192,7",,,,,,
07-2025,STP - Conversiones - Campaña Advantage+,Ventas,261161,94690,21531,11869,"4,5",69,6115,678,340,105,"$2,66","$3.468,2","12,43","$279,0",,,,,,
07-2025,STP - Conversiones - BBDD + LAL,Ventas,80917,38576,11303,3323,"4,1",14,1630,194,103,24,"$3,40","$665,9","8,16","$81,6",,,,,,
08-2025,STP - Tráfico IG,Tráfico,77.531,54.799,14.412,6.764,"8,7",28,170,9,5,,"$0,01",,,"$42,5",,,,,,
08-2025,STP - Conversiones - Tráfico Frio,Ventas,213.697,66.116,17.203,10.524,"4,9",42,5.260,524,265,72,"$2,85","$2.323,9","11,34","$204,9",,,,,,
08-2025,STP - Conversiones - Tráfico Caliente,Ventas,240.405,43.106,31.577,11.941,"5,0",43,6.450,514,301,84,"$2,20","$2.851,7","15,40","$185,2",,,,,,
08-2025,STP - Conversiones - Campaña Advantage+,Ventas,342.216,110.470,33.989,17.037,"5,0",70,7.654,920,487,136,"$2,47","$3.661,3","10,89","$336,3",,,,,,
09-2025,STP - Tráfico IG,Tráfico,66339,48702,14177,5399,"8,1",25,163,15,5,2,"$0,01","$61,0","1,61","$37,9",,,,,,
09-2025,STP - Conversiones - Tráfico Frio,Ventas,228294,76292,14350,11396,"5,0",51,5699,628,330,89,"$2,36","$3.011,3","14,36","$209,7",,,,,,
09-2025,STP - Conversiones - Tráfico Caliente,Ventas,210998,43366,25284,10122,"4,8",54,5527,521,270,73,"$2,48","$2.195,9","12,12","$181,1",,,,,,
09-2025,STP - Conversiones - Campaña Advantage+,Ventas,423359,141116,31018,19970,"4,7",94,9881,961,519,156,"$2,50","$4.624,1","11,86","$389,9",,,,,,
10-2025,STP - Tráfico IG,Tráfico,55727,42730,11058,4612,"8,3",31,124,8,4,,"$0,01",,,"$30,9",,,,,,
10-2025,Campaña Mensajes (INT),Interacción,88832,54507,16561,4589,"5,2",1220,163,10,9,,"$0,04",,,"$46,8",,,,,,
10-2025,STP - Conversiones - Tráfico Frio,Ventas,258135,79737,16504,10251,"4,0",37,5254,665,470,94,"$2,30","$2.973,0","13,78","$215,8",,,,,,
10-2025,STP - Conversiones - Tráfico Caliente,Ventas,180456,36687,23904,8607,"4,8",35,4982,544,311,62,"$2,52","$1.734,3","11,08","$156,5",,,,,,
10-2025,STP - Conversiones - Campaña Advantage+,Ventas,352182,105096,53315,21555,"6,1",98,12360,1193,808,162,"$2,58","$4.923,2","11,77","$418,4",,,,,,
11-2025,STP - Tráfico IG,Tráfico,50415,39510,8198,4429,"8,8",11,190,6,3,1,"$0,01","$47,6","1,58","$30,2",,,,,,
11-2025,Campaña Mensajes (INT),Interacción,62744,41012,22553,3585,"5,7",822,110,29,13,8,"$0,05","$243,9","5,66","$43,1",,,,,,
11-2025,STP - Conversiones - Tráfico Frio,Ventas,277748,90001,13622,11921,"4,3",39,6597,826,394,118,"$1,97","$4.378,9","18,79","$233,0",,,,,,
11-2025,STP - Conversiones - Tráfico Caliente,Ventas,164293,34528,10557,8152,"5,0",34,4473,616,272,71,"$2,08","$2.207,1","14,92","$147,9",,,,,,
11-2025,STP - Conversiones - Campaña Advantage+,Ventas,349600,84761,67700,25809,"7,4",96,16704,1928,815,259,"$1,92","$9.387,4","18,88","$497,3",,,,,,
12-2025,STP - Tráfico IG,Tráfico,59569,48336,13088,5119,"8,6",21,251,9,6,2,"$0,01","$64,5","2,11","$30,5",,,,,,
12-2025,STP - Conversiones - Tráfico Frio,Ventas,189642,81220,15857,9973,"5,3",59,5694,699,290,90,"$1,56","$3.367,4","24,03","$140,1",,,,,,
12-2025,STP - Conversiones - Tráfico Caliente,Ventas,100107,30724,5753,5079,"5,1",27,2748,369,177,48,"$1,56","$1.707,0","22,73","$75,1",,,,,,
12-2025,STP - Conversiones - Campaña Advantage+,Ventas,267245,88139,59241,20179,"7,6",116,12006,1212,551,192,"$1,75","$7.547,3","22,40","$336,9",,,,,,
01-2026,STP - Tráfico IG,Tráfico,142629,108748,19244,9993,"7,0",51,458,24,7,,"$0,00",,,"$42,5",,,,,,
01-2026,STP - Conversiones - Tráfico Frio,Ventas,622663,306124,20044,25246,"4,1",114,12820,1224,591,142,"$1,80","$4.762,3","18,58","$256,3",,,,,,
